구분,그룹,고민유형,비율
서울시,소계,경제 관련 문제,25.7
성별,남자,경제 관련 문제,27.6
성별,여자,경제 관련 문제,23.9
연령별,10대,경제 관련 문제,4.6
연령별,20대,경제 관련 문제,16.9
연령별,30대,경제 관련 문제,33.0
연령별,40대,경제 관련 문제,37.1
연령별,50대,경제 관련 문제,30.1
연령별,60대 이상,경제 관련 문제,18.0
학력별,중졸 이하,경제 관련 문제,19.5
학력별,고졸 이하,경제 관련 문제,27.2
학력별,대졸 이하,경제 관련 문제,26.3
학력별,대학원 이상,경제 관련 문제,27.0
소득별,100 만원 미만,경제 관련 문제,24.5
소득별,100-200만 미만,경제 관련 문제,27.2
소득별,200-300만 미만,경제 관련 문제,28.9
소득별,300-400만 미만,경제 관련 문제,28.6
소득별,400-500만 미만,경제 관련 문제,26.9
소득별,500만 이상,경제 관련 문제,19.5
혼인상태별,기혼,경제 관련 문제,31.2
혼인상태별,미혼,경제 관련 문제,13.6
혼인상태별,이혼/별거,경제 관련 문제,33.6
혼인상태별,사별,경제 관련 문제,19.3
지역대분류,도심권,경제 관련 문제,22.9
지역대분류,동북권,경제 관련 문제,25.8
지역대분류,서북권,경제 관련 문제,30.5
지역대분류,서남권,경제 관련 문제,27.1
지역대분류,동남권,경제 관련 문제,21.6
지역소분류,종로구,경제 관련 문제,20.0
지역소분류,중구,경제 관련 문제,18.1
지역소분류,용산구,경제 관련 문제,27.6
지역소분류,성동구,경제 관련 문제,27.3
지역소분류,광진구,경제 관련 문제,31.3
지역소분류,동대문구,경제 관련 문제,20.8
지역소분류,중랑구,경제 관련 문제,16.5
지역소분류,성북구,경제 관련 문제,19.2
지역소분류,강북구,경제 관련 문제,36.3
지역소분류,도봉구,경제 관련 문제,26.8
지역소분류,노원구,경제 관련 문제,29.9
지역소분류,은평구,경제 관련 문제,28.2
지역소분류,서대문구,경제 관련 문제,23.7
지역소분류,마포구,경제 관련 문제,39.2
지역소분류,양천구,경제 관련 문제,26.5
지역소분류,강서구,경제 관련 문제,35.2
지역소분류,구로구,경제 관련 문제,17.0
